No;Instansi;Formasi;Pendaftar;Submit;MS;TMS
347;Pemerintah Kab. Raja Ampat;1999;3230;3110;2850;260
348;Pemerintah Kab. Rejang Lebong;50;1075;1044;850;194
349;Pemerintah Kab. Rembang;58;2744;2590;2139;451
350;Pemerintah Kab. Rokan Hilir;100;1692;1550;1264;286
351;Pemerintah Kab. Rokan Hulu;60;2339;2201;1673;528
352;Pemerintah Kab. Rote Ndao;1430;2693;2641;2475;166
353;Pemerintah Kab. Sabu Raijua;130;973;935;800;10
354;Pemerintah Kab. Sambas;294;5882;5348;4753;595
355;Pemerintah Kab. Sampang;140;3367;3170;2775;395
356;Pemerintah Kab. Sanggau;327;3244;3088;3012;76
357;Pemerintah Kab. Sarmi;140;2349;2101;1913;188
358;Pemerintah Kab. Sarolangun;243;3156;3020;2543;473
359;Pemerintah Kab. Sekadau;182;3236;3065;2313;266
360;Pemerintah Kab. Seluma;1350;14899;14175;12201;1740
361;Pemerintah Kab. Semarang;149;5155;4847;4442;405
362;Pemerintah Kab. Seram Bagian Barat;10;171;145;83;62
363;Pemerintah Kab. Seram Bagian Timur;200;1375;1305;1036;269
364;Pemerintah Kab. Serang;56;1437;1185;925;260
365;Pemerintah Kab. Seruyan;150;1246;1184;1020;16
366;Pemerintah Kab. Siak;25;885;795;710;85
367;Pemerintah Kab. Sidenreng Rappang;112;3599;3373;2648;725
368;Pemerintah Kab. Sigi;597;4169;4041;3905;136
369;Pemerintah Kab. Sijunjung;1261;30823;28609;20961;5478
370;Pemerintah Kab. Sikka;705;3773;3585;3279;175
371;Pemerintah Kab. Simalungun;620;16252;15217;7669;6242
372;Pemerintah Kab. Simeulue;109;2454;2300;1767;533
373;Pemerintah Kab. Sintang;235;2777;2667;2309;358
374;Pemerintah Kab. Situbondo;16;895;755;670;85
375;Pemerintah Kab. Sleman;147;6587;6328;5367;961
376;Pemerintah Kab. Solok Selatan;44;421;393;285;102
377;Pemerintah Kab. Sorong;300;1192;1115;896;219
378;Pemerintah Kab. Sorong Selatan;1200;4275;4148;3683;465
379;Pemerintah Kab. Sragen;80;2919;2547;2165;382
380;Pemerintah Kab. Subang;50;1990;1812;1609;203
381;Pemerintah Kab. Sukabumi;118;2882;2232;1525;637
382;Pemerintah Kab. Sukamara;26;577;532;481;51
383;Pemerintah Kab. Sukoharjo;100;5633;5332;4902;430
384;Pemerintah Kab. Sumba Barat;1062;4634;4303;2743;1147
385;Pemerintah Kab. Sumba Barat Daya;212;2656;2540;2329;211
386;Pemerintah Kab. Sumba Tengah;1595;8259;7723;5804;486
387;Pemerintah Kab. Sumba Timur;358;2596;2522;2303;219
388;Pemerintah Kab. Sumbawa;275;4179;3963;3607;356
389;Pemerintah Kab. Sumbawa Barat;200;3894;3633;3271;362
390;Pemerintah Kab. Sumedang;200;3434;3127;2202;925
391;Pemerintah Kab. Sumenep;46;1864;1746;1560;186
392;Pemerintah Kab. Tabalong;90;1991;1881;1736;145
393;Pemerintah Kab. Takalar;85;3074;2925;2001;924
394;Pemerintah Kab. Tana Tidung;50;832;797;735;62
395;Pemerintah Kab. Tana Toraja;433;6737;6206;4031;1906
396;Pemerintah Kab. Tanah Bumbu;225;3344;3012;2403;609
397;Pemerintah Kab. Tanah Datar;48;813;764;671;93
398;Pemerintah Kab. Tanah Laut;39;742;699;666;33
399;Pemerintah Kab. Tangerang;500;20986;17910;14022;3888
400;Pemerintah Kab. Tanggamus;100;1974;1765;1342;423
401;Pemerintah Kab. Tanjung Jabung Barat;230;3904;3738;2697;1041
402;Pemerintah Kab. Tanjung Jabung Timur;75;1483;1393;1220;173
403;Pemerintah Kab. Tapanuli Selatan;173;5025;4531;2846;984
404;Pemerintah Kab. Tapin;150;1668;1606;1523;83
405;Pemerintah Kab. Tasikmalaya;36;1613;1488;1035;453
406;Pemerintah Kab. Tebo;150;3751;3472;1715;1723
407;Pemerintah Kab. Tegal;300;4928;4685;4279;406
408;Pemerintah Kab. Temanggung;79;2345;2181;1734;447
409;Pemerintah Kab. Timor Tengah Selatan;1330;10258;9702;6785;2917
410;Pemerintah Kab. Timor Tengah Utara;135;2772;2571;2148;423
411;Pemerintah Kab. Tojo Una Una;110;618;579;542;37
412;Pemerintah Kab. Tolikara;388;1411;1358;889;347
413;Pemerintah Kab. Toraja Utara;200;2805;2609;2255;354
414;Pemerintah Kab. Trenggalek;100;1909;1819;1537;269
415;Pemerintah Kab. Tuban;51;1948;1781;1447;334
416;Pemerintah Kab. Tulang Bawang;75;1186;1122;1077;45
417;Pemerintah Kab. Tulang Bawang Barat;30;568;513;345;168
418;Pemerintah Kab. Tulungagung;75;2318;2157;1717;440
419;Pemerintah Kab. Wajo;22;483;465;441;24
420;Pemerintah Kab. Wakatobi;323;3775;3627;3109;141
421;Pemerintah Kab. Waropen;180;1386;1236;666;78
422;Pemerintah Kab. Way Kanan;100;1648;1531;1397;134
423;Pemerintah Kab. Wonogiri;100;3405;3230;2808;422
424;Pemerintah Kab. Wonosobo;66;2509;2363;2064;299
425;Pemerintah Kab. Yahukimo;100;1710;1638;1420;155
426;Pemerintah Kab. Yalimo;300;1555;1487;1331;156
427;Pemerintah Kota Ambon;1264;12445;11949;5582;5956
428;Pemerintah Kota Balikpapan;80;2653;2386;2075;311
429;Pemerintah Kota Banda Aceh;24;348;336;299;37
430;Pemerintah Kota Bandar Lampung;50;1805;1615;1188;427
431;Pemerintah Kota Bandung;48;1671;1247;851;396
432;Pemerintah Kota Banjar;147;2093;1968;1584;384
433;Pemerintah Kota Banjarbaru;25;1161;1090;929;161
434;Pemerintah Kota Banjarmasin;28;1899;1743;1568;175
435;Pemerintah Kota Batam;86;2856;2519;1449;1070
436;Pemerintah Kota Batu;50;3574;3287;2654;633
437;Pemerintah Kota Baubau;53;1398;1311;917;394
438;Pemerintah Kota Bengkulu;213;4185;3752;1460;2292
439;Pemerintah Kota Bima;132;4375;4133;3447;686
440;Pemerintah Kota Binjai;46;1149;1060;933;127
441;Pemerintah Kota Bitung;120;813;730;508;97
442;Pemerintah Kota Blitar;96;3284;3016;2347;669
443;Pemerintah Kota Bogor;46;1810;1568;1298;270
444;Pemerintah Kota Bontang;117;2962;2774;2481;293
445;Pemerintah Kota Bukittinggi;50;2691;2437;1433;1004
446;Pemerintah Kota Cimahi;149;4178;3822;2754;1068
447;Pemerintah Kota Cirebon;124;3748;3261;2762;499
448;Pemerintah Kota Depok;113;4970;4063;2576;892
449;Pemerintah Kota Dumai;270;6557;6111;5293;818
450;Pemerintah Kota Gorontalo;5;12;12;8;4
451;Pemerintah Kota Gunung Sitoli;80;3941;3691;2944;747
452;Pemerintah Kota Jambi;60;3626;3005;1940;1064
453;Pemerintah Kota Kediri;26;550;501;382;119
454;Pemerintah Kota Kendari;83;944;876;628;248
455;Pemerintah Kota Kupang;135;1114;1033;709;324
456;Pemerintah Kota Lhokseumawe;252;13541;12867;9395;3472
457;Pemerintah Kota Madiun;52;903;859;765;94
458;Pemerintah Kota Magelang;14;952;902;724;178
459;Pemerintah Kota Makassar;186;5838;5400;3407;343
460;Pemerintah Kota Malang;50;2889;2556;1760;796
461;Pemerintah Kota Manado;100;2281;2063;1531;532
462;Pemerintah Kota Mataram;93;2258;2152;1908;244
463;Pemerintah Kota Medan;591;10815;10015;8459;1536
464;Pemerintah Kota Metro;100;1837;1748;1662;77
465;Pemerintah Kota Mojokerto;15;500;442;370;72
466;Pemerintah Kota Padang;492;11867;10784;8354;2430
467;Pemerintah Kota Padangsidimpuan;125;4462;4059;3507;543
468;Pemerintah Kota Pagar Alam;190;1831;1746;1428;318
469;Pemerintah Kota Palangka Raya;52;753;700;521;179
470;Pemerintah Kota Palembang;157;1221;1164;1081;83
471;Pemerintah Kota Palopo;200;5174;5019;4787;232
472;Pemerintah Kota Palu;202;654;613;512;101
473;Pemerintah Kota Pangkal Pinang;49;1342;1269;1007;262
474;Pemerintah Kota Parepare;88;3608;3373;2554;819
475;Pemerintah Kota Pariaman;178;5414;5193;4830;363
476;Pemerintah Kota Pasuruan;15;204;170;122;48
477;Pemerintah Kota Payakumbuh;32;292;279;234;45
478;Pemerintah Kota Pekalongan;50;1894;1812;1679;133
479;Pemerintah Kota Pekanbaru;250;5340;4893;4441;452
480;Pemerintah Kota Pematangsiantar;92;820;787;603;184
481;Pemerintah Kota Pontianak;388;9171;8140;4621;3513
482;Pemerintah Kota Prabumulih;100;1460;1374;1161;130
483;Pemerintah Kota Sabang;55;1167;1149;1099;50
484;Pemerintah Kota Samarinda;100;1867;1664;1243;421
485;Pemerintah Kota Sawahlunto;100;634;610;519;91
486;Pemerintah Kota Semarang;331;15798;14876;12136;2740
487;Pemerintah Kota Serang;700;16158;14363;5448;8915
488;Pemerintah Kota Sibolga;75;2140;2019;1655;364
489;Pemerintah Kota Singkawang;38;802;727;432;267
490;Pemerintah Kota Solok;115;2613;2491;2035;456
491;Pemerintah Kota Sorong;500;1538;1362;1308;54
492;Pemerintah Kota Subulussalam;100;3354;3089;1722;1367
493;Pemerintah Kota Sukabumi;50;1731;1525;1244;281
494;Pemerintah Kota Sungai Penuh;306;2683;2506;2064;442
495;Pemerintah Kota Surabaya;680;17683;16144;10804;5340
496;Pemerintah Kota Surakarta;250;7333;7024;6626;398
497;Pemerintah Kota Tanjungpinang;15;52;51;49;2
498;Pemerintah Kota Tarakan;23;1108;1062;880;182
499;Pemerintah Kota Tasikmalaya;100;3478;3253;2514;690
500;Pemerintah Kota Tebing Tinggi;48;1217;1115;672;441
501;Pemerintah Kota Tegal;247;3612;3230;2904;326
502;Pemerintah Kota Tidore Kepulauan;51;65;64;53;11
503;Pemerintah Kota Tual;433;2790;2656;2204;452
504;Pemerintah Kota Yogyakarta;10;921;797;606;191
505;Pemerintah Provinsi Bali;105;8834;8232;7485;747
506;Pemerintah Provinsi Bengkulu;200;4181;4028;3462;563
507;Pemerintah Provinsi Daerah Khusus Ibukota Jakarta;4413;43838;39684;33503;6181
508;Pemerintah Provinsi Jawa Barat;899;25063;22955;20214;2741
509;Pemerintah Provinsi Jawa Tengah;265;7108;6734;6112;618
510;Pemerintah Provinsi Jawa Timur;2314;31999;30229;23996;3911
511;Pemerintah Provinsi Kalimantan Barat;60;1462;1063;668;381
512;Pemerintah Provinsi Kalimantan Selatan;125;5614;5187;4148;1039
513;Pemerintah Provinsi Kalimantan Tengah;555;8377;7803;7274;529
514;Pemerintah Provinsi Kalimantan Timur;261;9522;8433;6423;2010
515;Pemerintah Provinsi Kalimantan Utara;65;1313;1232;926;294
